Linux 6.1.0-20-amd64 (baculaServer) 	06/09/2024 	_x86_64_	(3 CPU)

12:48:45 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:48:46 PM     all      0.64      0.00      0.96      0.00      0.00     98.40
12:48:47 PM     all      2.51      0.00      3.58      0.00      0.00     93.91
12:48:48 PM     all      2.77      0.00      1.73      0.00      0.00     95.50
12:48:49 PM     all      1.04      0.00      1.73      0.35      0.00     96.89
12:48:50 PM     all      1.07      0.00      2.14      0.36      0.00     96.44
12:48:51 PM     all      4.02      0.00      9.24      0.40      0.00     86.35
12:48:52 PM     all      5.56      0.00     10.26      0.00      0.00     84.19
12:48:53 PM     all      7.53      0.00     14.64      0.00      0.00     77.82
12:48:54 PM     all      3.91      0.00     10.87      0.00      0.00     85.22
12:48:55 PM     all      9.76      0.00     16.67      0.00      0.00     73.58
12:48:56 PM     all      5.44      0.00     16.32      0.00      0.00     78.24
12:48:57 PM     all      9.32      0.00     11.44      0.00      0.00     79.24
12:48:58 PM     all      4.53      0.00     16.05      0.00      0.00     79.42
12:48:59 PM     all      6.99      0.00     28.82      0.00      0.00     64.19
12:49:00 PM     all      7.17      0.00     35.86      0.00      0.00     56.96
12:49:01 PM     all      5.41      0.00     46.40      4.95      0.00     43.24
12:49:02 PM     all      9.61      0.00     51.97      1.75      0.00     36.68
12:49:03 PM     all      2.86      0.00     17.14      0.00      0.00     80.00
12:49:04 PM     all      4.96      0.00     18.60      0.00      0.00     76.45
12:49:05 PM     all      9.96      0.00     16.60      0.00      0.00     73.44
12:49:06 PM     all      2.97      0.00     17.80      0.00      0.00     79.24
12:49:07 PM     all      8.61      0.00     19.26      0.00      0.00     72.13
12:49:08 PM     all      5.24      0.00     16.94      0.40      0.00     77.42
12:49:09 PM     all      8.85      0.00     11.06      0.44      0.00     79.65
12:49:10 PM     all      6.57      0.00     71.83      3.76      0.00     17.84
12:49:11 PM     all      4.70      0.00     36.75      0.43      0.00     58.12
12:49:12 PM     all      9.50      0.00     15.29      0.00      0.00     75.21
12:49:13 PM     all      3.36      0.00     11.34      0.00      0.00     85.29
12:49:14 PM     all      2.56      0.00      8.55      0.00      0.00     88.89
12:49:15 PM     all     10.08      0.00     14.71      0.00      0.00     75.21
12:49:16 PM     all      4.26      0.00     11.49      0.00      0.00     84.26
12:49:17 PM     all     12.39      0.00     17.52      1.28      0.00     68.80
12:49:18 PM     all      6.31      0.00     10.81      1.35      0.00     81.53
12:49:19 PM     all      6.90      0.00      9.05      0.00      0.00     84.05
12:49:20 PM     all      3.35      0.00     12.97      0.00      0.00     83.68
12:49:21 PM     all      4.74      0.00     21.98      0.43      0.00     72.84
12:49:22 PM     all     10.60      0.00     27.65      0.00      0.00     61.75
12:49:23 PM     all      4.52      0.00     70.62      1.69      0.00     23.16
12:49:24 PM     all      7.89      0.00     73.68      2.11      0.00     16.32
12:49:25 PM     all      8.61      0.00     15.98      0.00      0.00     75.41
12:49:26 PM     all      5.73      0.00      9.69      0.44      0.00     84.14
12:49:27 PM     all     12.66      0.00     10.48      0.00      0.00     76.86
12:49:28 PM     all      6.99      0.00      6.99      0.44      0.00     85.59
12:49:29 PM     all      9.13      0.00      9.52      0.40      0.00     80.95
12:49:30 PM     all      1.99      0.00     17.53      9.56      0.00     70.92
12:49:31 PM     all      0.34      0.00      0.69      0.34      0.00     98.62
12:49:32 PM     all      2.77      0.00      1.38      0.00      0.00     95.85
12:49:33 PM     all      0.31      0.00      1.25      0.31      0.00     98.12
12:49:34 PM     all      2.92      0.00      1.46      0.00      0.00     95.62
12:49:36 PM     all      1.30      0.00      1.73      9.96      0.00     87.01
12:49:37 PM     all      5.54      0.00      1.73      0.35      0.00     92.39

Average:        all      5.36      0.00     15.85      0.94      0.00     77.85
