Linux 6.1.0-20-amd64 (baculaServer) 	06/09/2024 	_x86_64_	(3 CPU)

12:36:51 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:36:52 PM     all      0.40      0.00      3.20      0.00      0.00     96.40
12:36:53 PM     all      0.00      0.00      3.46      0.00      0.00     96.54
12:36:54 PM     all      0.00      0.00      0.89      0.00      0.00     99.11
12:36:55 PM     all      0.35      0.00      0.00      0.00      0.00     99.65
12:36:56 PM     all      0.32      0.00      1.27      0.00      0.00     98.42
12:36:57 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:36:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:00 PM     all      0.00      0.00      0.62      0.00      0.00     99.38
12:37:01 PM     all      1.01      0.00      0.67      0.00      0.00     98.32
12:37:02 PM     all      0.55      0.00      0.55      0.28      0.00     98.62
12:37:03 PM     all      0.00      0.00      1.71      0.00      0.00     98.29
12:37:04 PM     all      0.00      0.00      0.33      0.00      0.00     99.67
12:37:05 PM     all      0.00      0.00      0.00      0.34      0.00     99.66
12:37:06 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:08 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:09 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:10 PM     all      0.00      0.00      0.68      0.00      0.00     99.32
12:37:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:12 PM     all      0.00      0.00      0.68      0.00      0.00     99.32
12:37:13 PM     all      0.00      0.00      0.00      0.34      0.00     99.66
12:37:14 PM     all      0.00      0.00      0.34      0.34      0.00     99.32
12:37:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:16 PM     all      0.00      0.00      0.68      0.00      0.00     99.32
12:37:17 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:18 PM     all      0.00      0.00      0.00      0.33      0.00     99.67
12:37:19 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:20 PM     all      0.00      0.00      0.00      0.33      0.00     99.67
12:37:21 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:22 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:23 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:25 PM     all      0.00      0.00      0.60      0.00      0.00     99.40
12:37:26 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:27 PM     all      0.00      0.00      0.33      0.00      0.00     99.67
12:37:28 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:31 PM     all      0.00      0.00      0.68      0.00      0.00     99.32
12:37:32 PM     all      0.00      0.00      0.24      0.00      0.00     99.76
12:37:33 PM     all      0.00      0.00      0.00      0.34      0.00     99.66
12:37:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:35 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:39 PM     all      0.00      0.00      0.67      0.34      0.00     98.99
12:37:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:41 PM     all      0.00      0.00      0.33      0.00      0.00     99.67
12:37:42 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:43 PM     all      0.00      0.00      0.00      0.34      0.00     99.66
12:37:44 PM     all      0.00      0.00      0.67      0.00      0.00     99.33
12:37:45 PM     all      0.00      0.00      0.33      0.00      0.00     99.67
12:37:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:47 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:48 PM     all     11.46      0.00      4.17      0.00      0.00     84.38
12:37:49 PM     all      4.79      0.00      2.74      0.34      0.00     92.12
12:37:50 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:51 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:52 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
12:37:53 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
Average:        all      0.30      0.00      0.51      0.05      0.00     99.13
